Symbol,"DFT
LDA
Etot","DFT
LDA
Ekin","DFT
LDA
Ecoul","DFT
LDA
Eenuc","DFT
LDA
Exc","DFT
LSD
Etot","DFT
LSD
Ekin","DFT
LSD
Ecoul","DFT
LSD
Eenuc","DFT
LSD
Exc","DFT
RLDA
Etot","DFT
RLDA
Ekin","DFT
RLDA
Ecoul","DFT
RLDA
Eenuc","DFT
RLDA
Exc","DFT
ScRLDA
Etot","DFT
ScRLDA
Ekin","DFT
ScRLDA
Ecoul","DFT
ScRLDA
Eenuc","DFT
ScRLDA
Exc"
Mn,-1148.449372,1146.990867,485.085158,-2731.133992,-49.391406,-1148.644093,1147.208134,485.852669,-2732.070736,-49.63416,-1155.294212,1167.790159,487.295552,-2761.529143,-48.85078,-1155.274475,1165.723342,487.114939,-2759.289515,-48.823241
Fe,-1261.093056,1259.553429,535.295832,-3003.082484,-52.859833,-1261.223291,1259.697871,535.733366,-3003.635009,-53.019519,-1269.22908,1284.299765,537.849537,-3039.130268,-52.248113,-1269.203563,1281.820878,537.639306,-3036.447136,-52.216611
Co,-1380.091264,1378.468819,589.169216,-3291.260194,-56.469106,-1380.167299,1378.552711,589.39503,-3291.553847,-56.561193,-1389.695823,1407.71069,592.105098,-3333.731437,-55.780174,-1389.663179,1404.758937,591.861977,-3330.539729,-55.744364
Ni,-1505.580197,1503.873332,646.833302,-3596.066045,-60.220786,-1505.615106,1503.911671,646.926967,-3596.191094,-60.26265,-1516.846867,1538.21079,650.193085,-3645.80252,-59.448222,-1516.805505,1534.719054,649.913565,-3642.030376,-59.407749
Cu,-1637.785861,1635.9828,713.928477,-3923.329381,-64.367756,-1637.793358,1635.992614,713.999508,-3923.406957,-64.378522,-1650.910397,1676.025731,717.548365,-3980.987851,-63.496642,-1650.858424,1671.934488,717.231695,-3976.573203,-63.451404
Zn,-1776.57385,1774.693645,774.056522,-4257.166094,-68.157922,-1776.57385,1774.693645,774.056522,-4257.166094,-68.157922,-1791.814585,1821.24327,778.401582,-4324.261826,-67.197611,-1791.749887,1816.442682,778.037755,-4319.083631,-67.146693
Ga,-1921.846456,1919.894783,833.754978,-4603.576824,-71.919393,-1921.851924,1919.901853,833.82778,-4603.654197,-71.92736,-1939.453568,1973.731946,838.82376,-4681.14788,-70.861393,-1939.373561,1968.130697,838.406098,-4675.106069,-70.804286
Ge,-2073.807332,2071.782093,895.945638,-4965.789424,-75.74564,-2073.82986,2071.810411,896.161607,-4966.025799,-75.776078,-2094.057595,2133.772372,901.81992,-5055.066254,-74.583632,-2093.959277,2127.263869,901.341795,-5048.04518,-74.519761
As,-2232.534978,2230.434545,960.716547,-5344.04275,-79.643321,-2232.587154,2230.498886,961.107904,-5344.483402,-79.710543,-2255.727328,2301.515332,967.480227,-5446.352337,-78.37055,-2255.607224,2293.982566,966.934286,-5438.224764,-78.299312
Se,-2398.11144,2395.934307,1028.192719,-5738.619928,-83.618538,-2398.13493,2395.962682,1028.331555,-5738.781414,-83.647752,-2424.56813,2477.11889,1035.936588,-5855.395556,-82.228052,-2424.422236,2468.433596,1035.314833,-5846.021845,-82.14882
