Symbol,"Neutron 
Cross 
Section ","Neutron 
Mass 
Absorption","no. of Known 
Isotopes","no. of Stable 
Isotopes","fraction of stable 
isotopes ","fraction abundance of stable 
isotopes ","Abundance in Earth's 
crust","Abundance 
in solar system 
(log)",HHI production,HHI reserve,"cost, 
pure
($/100g)"
Hf,104.0,0.02,36,5,0.138888889,0.9984,3.06275e-06,5.02212e-12,3410.0,2595.0,120.0
Ta,20.5,0.0041,36,1,0.027777778,1.0,2.04184e-06,6.75051e-13,2252.0,4811.0,120.0
W,18.4,0.0036,35,5,0.142857143,1.0,1.27615e-06,4.33728e-12,6981.0,4297.0,11.0
Re,90.0,0.016,35,1,0.028571429,0.374,7.14643e-10,1.686e-12,3258.0,3314.0,540.0
Os,15.0,0.0023,35,6,0.171428571,0.9841,1.53138e-09,2.20125e-11,5504.0,9087.0,7700.0
Ir,425.0,0.081,36,2,0.055555556,1.0,1.02092e-09,2.1556e-11,5504.0,9087.0,4200.0
Pt,10.0,0.002,37,5,0.135135135,0.9999,5.10459e-09,4.36989e-11,5504.0,9087.0,4700.0
Au,98.7,0.017,37,1,0.027027027,1.0,4.08367e-09,6.09828e-12,1119.0,1040.0,4400.0
Hg,374.0,0.063,40,7,0.175,0.374,8.6778e-08,1.10878e-11,5505.0,3054.0,5.0
Tl,3.4,0.00059,37,2,0.054054054,-0.252,8.6778e-07,6.00045e-12,6500.0,6500.0,48.0
Pb,0.171,3e-05,38,4,0.105263158,-0.878,1.42929e-07,1.02725e-10,2716.0,1781.0,1.5
Bi,0.034,6e-06,36,0,0.0,0.0,8.6778e-09,4.696e-12,5296.0,5993.0,11.0
Th,7.4,0.001,30,1,0.033333333,1.0,9.80081e-06,1.09247e-12,0.0,0.0,9000.0
U,7.57,0.0005,26,0,0.0,0.0,2.75648e-06,2.935e-13,0.0,0.0,6000.0
