,Unnamed: 0.1,Unnamed: 0,formula_,target_,Ea (eV),space group,ICSD Entry,target,formula_preprocessed,formula,H_ratio,Ag_ratio,Hf_ratio,Co_ratio,Cu_ratio,Te_ratio,Pr_ratio,La_ratio,Nb_ratio,Sn_ratio,Sr_ratio,Se_ratio,Mn_ratio,As_ratio,Cr_ratio,Li_ratio,Br_ratio,N_ratio,I_ratio,Cl_ratio,In_ratio,Nd_ratio,Fe_ratio,S_ratio,Er_ratio,Sm_ratio,Mg_ratio,K_ratio,Ce_ratio,Mo_ratio,O_ratio,Sc_ratio,W_ratio,Al_ratio,Ge_ratio,B_ratio,Bi_ratio,Ru_ratio,Y_ratio,P_ratio,Ga_ratio,Si_ratio,C_ratio,Zn_ratio,Ba_ratio,F_ratio,V_ratio,Ca_ratio,Ta_ratio,Na_ratio,Sb_ratio,Ti_ratio,Cd_ratio,Zr_ratio
26,26,592,Li7Ba2LaTa2O12,3e-06,0.442,230,,-5.522878745,Li7Ba2LaTa2O12,Li7Ba2LaTa2O12,0,0,0,0,0,0,0,0.0416666666666666,0,0,0,0,0,0,0,0.2916666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0.0833333333333333,0,0,0,0,0
26,26,650,Li6.06Al0.2La3Zr2O12,0.0004,0.34,230,185539,-3.397940009,Li6.06Al0.2La3Zr2O12,Li6.06Al0.2La3Zr2O12,0,0,0,0,0,0,0,0.1289767841788478,0,0,0,0,0,0,0,0.2605331040412725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5159071367153912,0,0,0.0085984522785898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0859845227858985
31,31,644,Li6.15La3Zr1.75Ta0.25Al0.2O12,0.00037,0.3,230,,-3.431798276,Li6.15La3Zr1.75Ta0.25Al0.2O12,Li6.15La3Zr1.75Ta0.25Al0.2O12,0,0,0,0,0,0,0,0.1284796573875803,0,0,0,0,0,0,0,0.2633832976445396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5139186295503212,0,0,0.0085653104925053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107066381156316,0,0,0,0,0.0749464668094218
38,38,629,Li6.5La3Zr1.75Te0.25O12,0.00102,0.38,230,,-2.991399828,Li6.5La3Zr1.75Te0.25O12,Li6.5La3Zr1.75Te0.25O12,0,0,0,0,0,0.0106382978723404,0,0.1276595744680851,0,0,0,0,0,0,0,0.2765957446808511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5106382978723404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744680851063829
41,41,626,Li6.2La3Zr1.6Mo0.4O12,0.00034,0.48,230,,-3.468521083,Li6.2La3Zr1.6Mo0.4O12,Li6.2La3Zr1.6Mo0.4O12,0,0,0,0,0,0,0,0.1293103448275862,0,0,0,0,0,0,0,0.2672413793103448,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172413793103448,0.5172413793103449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689655172413793
42,42,699,Li6.4La3Zr1.4Ta0.6O12,0.000724,0.24,230,,-3.140261434,Li6.4La3Zr1.4Ta0.6O12,Li6.4La3Zr1.4Ta0.6O12,0,0,0,0,0,0,0,0.1282051282051282,0,0,0,0,0,0,0,0.2735042735042735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5128205128205129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256410256410256,0,0,0,0,0.0598290598290598
49,49,634,Li6La2SrBi2O12,5.2e-05,0.43,230,158373,-4.283996656,Li6La2SrBi2O12,Li6La2SrBi2O12,0,0,0,0,0,0,0,0.0869565217391304,0,0,0.0434782608695652,0,0,0,0,0.2608695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5217391304347826,0,0,0,0,0,0.0869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,627,Li6.5La3Zr1.75Mo0.25O12,0.000333,0.39,230,239128,-3.477555766,Li6.5La3Zr1.75Mo0.25O12,Li6.5La3Zr1.75Mo0.25O12,0,0,0,0,0,0,0,0.1276595744680851,0,0,0,0,0,0,0,0.2765957446808511,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106382978723404,0.5106382978723404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744680851063829
50,50,698,Li6.65La2.75Ba0.25Zr1.4Ta0.5Nb0.1O12,0.000527,0.26,230,,-3.278189385,Li6.65La2.75Ba0.25Zr1.4Ta0.5Nb0.1O12,Li6.65La2.75Ba0.25Zr1.4Ta0.5Nb0.1O12,0,0,0,0,0,0,0,0.1162790697674418,0.0042283298097251,0,0,0,0,0,0,0.281183932346723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5073995771670191,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105708245243128,0,0,0,0.0211416490486257,0,0,0,0,0.0591966173361522
55,55,625,Li6.4La3Zr1.7Mo0.3O12,0.000369,0.49,230,,-3.432973634,Li6.4La3Zr1.7Mo0.3O12,Li6.4La3Zr1.7Mo0.3O12,0,0,0,0,0,0,0,0.1282051282051282,0,0,0,0,0,0,0,0.2735042735042735,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128205128205128,0.5128205128205129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0726495726495726
